,Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expenses,R&D,Selling General and Administrative,Total Operating Expenses,Operating Income or Loss,Interest Expense,Total Other Income/Expenses Net,Income Before Tax,Income Tax Expense,Income from Continuing Operations,Net Income,Net Income available to common shareholders,Reported EPS,Basic,Diluted,Weighted average shares outstanding,Basic.1,Diluted.1,EBITDA
0,1/31/2000,11635400,6339100,5296300,0.0,0.0,3043400,3479600,1816700,31800,100,1785000,657900,1127100,1127100,1127100,0.0,1.32,1.26,0.0,853864,894524,2252900
1,1/31/2001,13673460,8009077,5664383,0.0,0.0,0,4219622,1444761,74891,0,1381885,504388,877497,877497,877497,0.0,1.03,1.0,0.0,849811,879137,2035126
2,1/31/2002,13847873,9704389,4143484,0.0,0.0,0,3805968,337516,109190,0,241641,249405,7764,7764,7764,0.0,0.01,0.01,0.0,860255,860255,1148002
3,1/31/2003,14454709,9541558,4913151,0.0,0.0,0,3900522,1012629,248599,0,800875,323418,477457,477457,477457,0.0,0.55,0.54,0.0,875546,881478,1793505
4,1/31/2004,15854000,9886000,5968000,0.0,0.0,0,4089000,1879000,234000,0,1683000,653000,1030000,1030000,1030000,0.0,1.15,1.09,0.0,892555,988178,2543000
5,1/31/2005,16267000,9886000,6381000,0.0,0.0,0,4296000,2085000,167000,105000,1872000,722000,1150000,1150000,1150000,0.0,1.29,1.21,0.0,893357,991122,2705000
6,1/31/2006,16023000,10154000,5869000,0.0,0.0,0,4124000,1745000,45000,0,1793000,680000,1113000,1113000,1113000,0.0,1.26,1.24,0.0,881058,902306,2370000
7,1/31/2007,15943000,10294000,5649000,0.0,0.0,0,4475000,1174000,41000,0,1264000,486000,778000,778000,778000,0.0,0.94,0.93,0.0,831087,835973,1704000
8,1/31/2008,15763000,10071000,5692000,0.0,0.0,0,4377000,1315000,26000,0,1406000,539000,867000,833000,833000,0.0,1.05,1.05,0.0,791000,794000,1862000
9,1/31/2009,14526000,9079000,5447000,0.0,0.0,0,3899000,1548000,1000,0,1584000,617000,967000,967000,967000,0.0,1.35,1.34,0.0,716000,719000,2116000
10,1/31/2010,14197000,8473000,5724000,0.0,0.0,0,3909000,1815000,1000,2000,1816000,714000,1102000,1102000,1102000,0.0,1.59,1.58,0.0,694000,699000,2390000
11,1/31/2011,14664000,8775000,5889000,0.0,0.0,0,3921000,1968000,14000,28000,1982000,778000,1204000,1204000,1204000,0.0,1.89,1.88,0.0,636000,641000,2558000
12,1/31/2012,14549000,9275000,5274000,0.0,0.0,0,3836000,1438000,74000,0,1369000,536000,833000,833000,833000,0.0,1.57,1.56,0.0,529000,533000,1944000
13,1/31/2013,15651000,9480000,6171000,0.0,0.0,0,4229000,1942000,81000,0,1861000,726000,1135000,1135000,1135000,0.0,2.35,2.33,0.0,482000,488000,2425000
14,1/31/2014,16148000,9855000,6293000,0.0,0.0,0,4144000,2149000,56000,0,2093000,813000,1280000,1280000,1280000,0.0,2.78,2.74,0.0,461000,467000,2619000
15,1/31/2015,16435000,10146000,6289000,0.0,0.0,0,4206000,2083000,70000,140000,2013000,751000,1262000,1262000,1262000,0.0,2.9,2.87,0.0,435000,440000,2583000
16,1/31/2016,15797000,10077000,5720000,0.0,0.0,0,4196000,1524000,53000,0,1471000,551000,920000,920000,920000,0.0,2.24,2.23,0.0,411000,413000,2051000
17,1/31/2017,15516000,9876000,5640000,0.0,0.0,4449000,4449000,1191000,67000,134000,1124000,448000,676000,676000,676000,0.0,1.69,1.69,0.0,399000,400000,1722000
18,1/31/2018,15855000,9789000,6066000,0.0,0.0,0,4587000,1479000,55000,0,1424000,576000,848000,848000,848000,0.0,2.16,2.14,0.0,393000,396000,1978000
19,1/31/2019,16580000,10258000,6322000,0.0,0.0,0,4960000,1362000,40000,0,1322000,319000,1003000,1003000,1003000,0.0,2.61,2.59,0.0,385000,388000,1879000
